№,Province,District,Sub-District,Neighbourhood,Zip Code
40109,ORDU,ÜNYE,ÜNYE,FEVZİÇAKMAK MAH.,52300
40110,ORDU,ÜNYE,ÜNYE,GÖLEVİ MAH.,52300
40111,ORDU,ÜNYE,ÜNYE,GÜRECÜLÜ MAH.,52300
40112,ORDU,ÜNYE,ÜNYE,HAMİDİYE MAH.,52300
40113,ORDU,ÜNYE,ÜNYE,İPEKYOLU MAH.,52300
40114,ORDU,ÜNYE,ÜNYE,KALEDERE MAH.,52300
40115,ORDU,ÜNYE,ÜNYE,KARŞIYAKA MAH.,52300
40116,ORDU,ÜNYE,ÜNYE,LİSELER MAH.,52300
40117,ORDU,ÜNYE,ÜNYE,NURİYE MAH.,52300
40118,ORDU,ÜNYE,ÜNYE,ORTAYILMAZLAR MAH.,52300
40119,ORDU,ÜNYE,ÜNYE,SACA MAH.,52300
40120,ORDU,ÜNYE,ÜNYE,SARAÇLI MAH.,52300
40121,ORDU,ÜNYE,YEŞİLKENT,ATATÜRK MAH.,52300
40122,ORDU,ÜNYE,YEŞİLKENT,BAHÇELER MAH.,52300
40123,ORDU,ÜNYE,YEŞİLKENT,BALLIK MAH.,52300
40124,ORDU,ÜNYE,YEŞİLKENT,DARAHTA MAH.,52300
40125,ORDU,ÜNYE,YEŞİLKENT,GÜNEY MAH.,52300
40126,ORDU,ÜNYE,YEŞİLKENT,GÜZELTEPE MAH.,52300
40127,ORDU,ÜNYE,YEŞİLKENT,HATİPLİ MAH.,52300
40128,ORDU,ÜNYE,YEŞİLKENT,İSTİKLAL MAH.,52300
40129,ORDU,ÜNYE,YEŞİLKENT,SERVİLER MAH.,52300
40130,OSMANİYE,BAHÇE,BAHÇE,ASLANLI MAH.,80500
40131,OSMANİYE,BAHÇE,BAHÇE,BAHÇELİEVLER MAH.,80500
40132,OSMANİYE,BAHÇE,BAHÇE,CUMHURİYET MAH.,80500
40133,OSMANİYE,BAHÇE,BAHÇE,ÇAMLICA MAH.,80500
40134,OSMANİYE,BAHÇE,BAHÇE,ESENTEPE MAH.,80500
40135,OSMANİYE,BAHÇE,BAHÇE,İSLAM MAH.,80500
40136,OSMANİYE,BAHÇE,BAHÇE,İSTİKLAL MAH.,80500
40137,OSMANİYE,BAHÇE,BAHÇE,KALE MAH.,80500
40138,OSMANİYE,BAHÇE,BAHÇE,KARŞIYAKA MAH.,80500
40139,OSMANİYE,BAHÇE,BAHÇE,YENİ MAH.,80500
40140,OSMANİYE,BAHÇE,BAHÇE,YEŞİLYURT MAH.,80500
40141,OSMANİYE,BAHÇE,MERKEZKÖYLER,ARICAKLI KÖYÜ,80500
40142,OSMANİYE,BAHÇE,MERKEZKÖYLER,ARIKLIKAŞ KÖYÜ,80500
40143,OSMANİYE,BAHÇE,MERKEZKÖYLER,AŞAĞIARICAKLI KÖYÜ,80500
40144,OSMANİYE,BAHÇE,MERKEZKÖYLER,AŞAĞIKARADERE KÖYÜ,80500
40145,OSMANİYE,BAHÇE,MERKEZKÖYLER,BEKDEMİR KÖYÜ,80500
40146,OSMANİYE,BAHÇE,MERKEZKÖYLER,BURGAÇLI KÖYÜ,80500
40147,OSMANİYE,BAHÇE,MERKEZKÖYLER,GÖKMUSTAFALI KÖYÜ,80500
40148,OSMANİYE,BAHÇE,MERKEZKÖYLER,İNDERESİ KÖYÜ,80500
40149,OSMANİYE,BAHÇE,MERKEZKÖYLER,KAMAN KÖYÜ,80500
40150,OSMANİYE,BAHÇE,MERKEZKÖYLER,KIZLAÇ KÖYÜ,80500
40151,OSMANİYE,BAHÇE,MERKEZKÖYLER,NOHUT KÖYÜ,80500
40152,OSMANİYE,BAHÇE,MERKEZKÖYLER,ÖRENCİK KÖYÜ,80500
40153,OSMANİYE,BAHÇE,MERKEZKÖYLER,SAVRANLI KÖYÜ,80500
40154,OSMANİYE,BAHÇE,MERKEZKÖYLER,YAYLALIK KÖYÜ,80500
40155,OSMANİYE,BAHÇE,MERKEZKÖYLER,YUKARIKARADERE KÖYÜ,80500
40156,OSMANİYE,DÜZİÇİ,ATALAN,ÇUKUROBA MAH.,80710
40157,OSMANİYE,DÜZİÇİ,ATALAN,KATOBASI MAH.,80710
40158,OSMANİYE,DÜZİÇİ,ATALAN,MERKEZ MAH.,80710
40159,OSMANİYE,DÜZİÇİ,ATALAN,ŞEHİTHÜSEYINSARI MAH.,80710
40160,OSMANİYE,DÜZİÇİ,BÖCEKLİ,BOYALI MAH.,80740
40161,OSMANİYE,DÜZİÇİ,BÖCEKLİ,CELİLLER MAH.,80740
40162,OSMANİYE,DÜZİÇİ,BÖCEKLİ,DEMİRCİLER MAH.,80740
40163,OSMANİYE,DÜZİÇİ,BÖCEKLİ,DÜMBÜRDEK MAH.,80740
40164,OSMANİYE,DÜZİÇİ,BÖCEKLİ,KÜRTMAHMUTLAR MAH.,80740
40165,OSMANİYE,DÜZİÇİ,BÖCEKLİ,YEŞİLYURT MAH.,80740
40166,OSMANİYE,DÜZİÇİ,DÜZİÇİ,BOĞAZİÇİ MAH.,80600
40167,OSMANİYE,DÜZİÇİ,DÜZİÇİ,CUMHURİYET MAH.,80600
40168,OSMANİYE,DÜZİÇİ,DÜZİÇİ,ÇİFTLİK MAH.,80600
40169,OSMANİYE,DÜZİÇİ,DÜZİÇİ,HÜRRİYET MAH.,80600
40170,OSMANİYE,DÜZİÇİ,DÜZİÇİ,İRFANLI MAH.,80600
40171,OSMANİYE,DÜZİÇİ,DÜZİÇİ,İSTİKLAL MAH.,80600
40172,OSMANİYE,DÜZİÇİ,DÜZİÇİ,KARACAOĞLAN MAH.,80600
40173,OSMANİYE,DÜZİÇİ,DÜZİÇİ,KARKIN MAH.,80600
40174,OSMANİYE,DÜZİÇİ,DÜZİÇİ,KARLICA MAH.,80600
40175,OSMANİYE,DÜZİÇİ,DÜZİÇİ,KARŞIYAKA MAH.,80600
40176,OSMANİYE,DÜZİÇİ,DÜZİÇİ,KURTBEYOĞLU MAH.,80600
40177,OSMANİYE,DÜZİÇİ,DÜZİÇİ,KURTULUŞ MAH.,80600
40178,OSMANİYE,DÜZİÇİ,DÜZİÇİ,MERKEZ MAH.,80600
40179,OSMANİYE,DÜZİÇİ,DÜZİÇİ,SÖĞÜTLÜGÖL MAH.,80600
40180,OSMANİYE,DÜZİÇİ,DÜZİÇİ,ŞEHİTKEMALKESKİN MAH.,80600
40181,OSMANİYE,DÜZİÇİ,DÜZİÇİ,UZUNBANI MAH.,80600
40182,OSMANİYE,DÜZİÇİ,DÜZİÇİ,ÜZÜMLÜ MAH.,80600
40183,OSMANİYE,DÜZİÇİ,DÜZİÇİ,YENİCEHARUNİYE MAH.,80600
40184,OSMANİYE,DÜZİÇİ,DÜZİÇİ,YESİLOVA MAH.,80600
40185,OSMANİYE,DÜZİÇİ,DÜZİÇİ,YUKARIHACILAR MAH.,80600
40186,OSMANİYE,DÜZİÇİ,ELLEK,AYDINLAR MAH.,80730
40187,OSMANİYE,DÜZİÇİ,ELLEK,ÇEVLİK MAH.,80730
40188,OSMANİYE,DÜZİÇİ,ELLEK,ÇIRAZ MAH.,80730
40189,OSMANİYE,DÜZİÇİ,ELLEK,ELLEK MAH.,80730
40190,OSMANİYE,DÜZİÇİ,ELLEK,GÖKYILDIZ MAH.,80730
40191,OSMANİYE,DÜZİÇİ,ELLEK,İRFANİYE MAH.,80730
40192,OSMANİYE,DÜZİÇİ,ELLEK,PEÇENEK MAH.,80730
40193,OSMANİYE,DÜZİÇİ,ELLEK,SOYLAR MAH.,80730
40194,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,AKÇAKOYUNLU KÖYÜ,80600
40195,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,ALİBOZLU KÖYÜ,80600
40196,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,BAYINDIRLI KÖYÜ,80600
40197,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,BOSTANLAR KÖYÜ,80600
40198,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,ÇAMİÇİ KÖYÜ,80600
40199,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,ÇATAK KÖYÜ,80600
40200,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,ÇERÇİOĞLU KÖYÜ,80600
40201,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,ÇİTLİ KÖYÜ,80600
40202,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,ÇOTLU KÖYÜ,80600
40203,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,ELBEYLİ KÖYÜ,80600
40204,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,FARSAK KÖYÜ,80600
40205,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,GÖKÇAYIR KÖYÜ,80600
40206,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,GÜMÜŞ KÖYÜ,80600
40207,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,GÜZELYURT KÖYÜ,80600
40208,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,KARAGEDİK KÖYÜ,80600
40209,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,KARAGUZ KÖYÜ,80600
40210,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,KUŞCU KÖYÜ,80600
40211,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,OLUKLU KÖYÜ,80600
40212,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,PİRSULTANLI KÖYÜ,80600
40213,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,SELVERLER KÖYÜ,80600
40214,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,YAZLAMAZLI KÖYÜ,80600
40215,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,YENİFARSAK KÖYÜ,80600
40216,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,YEŞİLKÖY KÖYÜ,80600
40217,OSMANİYE,DÜZİÇİ,MERKEZKÖYLER,YEŞİLYURT KÖYÜ,80600
40218,OSMANİYE,DÜZİÇİ,YARBAŞI,KARACAÖREN MAH.,80720
40219,OSMANİYE,DÜZİÇİ,YARBAŞI,KARAÇARLI MAH.,80720
40220,OSMANİYE,DÜZİÇİ,YARBAŞI,MERKEZ MAH.,80720
40221,OSMANİYE,HASANBEYLİ,HASANBEYLİ,CUMHURİYET MAH.,80850
40222,OSMANİYE,HASANBEYLİ,HASANBEYLİ,HÜRRİYET MAH.,80850
40223,OSMANİYE,HASANBEYLİ,HASANBEYLİ,MERKEZ MAH.,80850
40224,OSMANİYE,HASANBEYLİ,HASANBEYLİ,YEŞİLYURT MAH.,80850
40225,OSMANİYE,HASANBEYLİ,MERKEZKÖYLER,ÇOLAKLI KÖYÜ,80850
40226,OSMANİYE,HASANBEYLİ,MERKEZKÖYLER,ÇULHALI KÖYÜ,80850
40227,OSMANİYE,HASANBEYLİ,MERKEZKÖYLER,KALECİK KÖYÜ,80850
40228,OSMANİYE,HASANBEYLİ,MERKEZKÖYLER,KARAYİĞİT KÖYÜ,80850
40229,OSMANİYE,HASANBEYLİ,MERKEZKÖYLER,SARAYOVA KÖYÜ,80850
40230,OSMANİYE,HASANBEYLİ,MERKEZKÖYLER,YANIKKIŞLA KÖYÜ,80850
40231,OSMANİYE,KADİRLİ,CEMALPAŞA,CEMALPAŞA MAH.,80760
40232,OSMANİYE,KADİRLİ,CEMALPAŞA,SAVRUN MAH.,80760
40233,OSMANİYE,KADİRLİ,CEMALPAŞA,ŞEHİTHALİSŞİŞMAN MAH.,80760
40234,OSMANİYE,KADİRLİ,CEMALPAŞA,ŞEHİTKANSUKÜÇÜKATEŞ MAH.,80760
40235,OSMANİYE,KADİRLİ,KADİRLİ,BAĞ MAH.,80750
40236,OSMANİYE,KADİRLİ,KADİRLİ,CENGİZTOPEL MAH.,80750
40237,OSMANİYE,KADİRLİ,KADİRLİ,DERE MAH.,80750
40238,OSMANİYE,KADİRLİ,KADİRLİ,DERVİŞPAŞA MAH.,80750
40239,OSMANİYE,KADİRLİ,KADİRLİ,KURTULUŞ MAH.,80750
40240,OSMANİYE,KADİRLİ,KADİRLİ,PAZAR MAH.,80750
40241,OSMANİYE,KADİRLİ,KADİRLİ,ŞEHİTİBRAHİMKUNDAKÇI MAH.,80750
40242,OSMANİYE,KADİRLİ,KADİRLİ,ŞEHİTMEHMETDELİKUŞ MAH.,80750
40243,OSMANİYE,KADİRLİ,KADİRLİ,ŞEHİTMEHMETHALLAÇ MAH.,80750
40244,OSMANİYE,KADİRLİ,KADİRLİ,ŞEHİTMUSTAFAYAĞIZ MAH.,80750
40245,OSMANİYE,KADİRLİ,KADİRLİ,ŞEHİTORHANGÖK MAH.,80750
40246,OSMANİYE,KADİRLİ,KADİRLİ,ŞEHİTVEDATKOCADALLI MAH.,80750
40247,OSMANİYE,KADİRLİ,KADİRLİ,TUFANPAŞA MAH.,80750
40248,OSMANİYE,KADİRLİ,KADİRLİ,YEDİMART(7MART) MAH.,80750
40249,OSMANİYE,KADİRLİ,KADİRLİ,YENİ MAH.,80750
40250,OSMANİYE,KADİRLİ,KADİRLİ,YEŞİLTEPE MAH.,80750
40251,OSMANİYE,KADİRLİ,MERKEZKÖYLER,AKKÖPRÜ KÖYÜ,80750
40252,OSMANİYE,KADİRLİ,MERKEZKÖYLER,AKOVA KÖYÜ,80750
40253,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ANBERİNARKI KÖYÜ,80750
40254,OSMANİYE,KADİRLİ,MERKEZKÖYLER,AŞAĞIBOZKUYU KÖYÜ,80750
40255,OSMANİYE,KADİRLİ,MERKEZKÖYLER,AŞAĞIÇAYANLI KÖYÜ,80750
40256,OSMANİYE,KADİRLİ,MERKEZKÖYLER,AYDINLAR KÖYÜ,80750
40257,OSMANİYE,KADİRLİ,MERKEZKÖYLER,AZAPLI KÖYÜ,80750
40258,OSMANİYE,KADİRLİ,MERKEZKÖYLER,BAHADIRLI KÖYÜ,80750
40259,OSMANİYE,KADİRLİ,MERKEZKÖYLER,BEKERECİ KÖYÜ,80750
40260,OSMANİYE,KADİRLİ,MERKEZKÖYLER,COŞKUNLAR KÖYÜ,80750
40261,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ÇAYGEÇİT KÖYÜ,80750
40262,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ÇINAR KÖYÜ,80750
40263,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ÇİĞCİK KÖYÜ,80750
40264,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ÇİĞDEMLİ KÖYÜ,80750
40265,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ÇUKURKÖPRÜ KÖYÜ,80750
40266,OSMANİYE,KADİRLİ,MERKEZKÖYLER,DEĞİRMENDERE KÖYÜ,80750
40267,OSMANİYE,KADİRLİ,MERKEZKÖYLER,DURMUŞSOFULAR KÖYÜ,80750
40268,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ELBİSTANLI KÖYÜ,80750
40269,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ERDOĞDU KÖYÜ,80750
40270,OSMANİYE,KADİRLİ,MERKEZKÖYLER,GÖZTAŞI KÖYÜ,80750
40271,OSMANİYE,KADİRLİ,MERKEZKÖYLER,HACIHALİLOĞLU KÖYÜ,80750
40272,OSMANİYE,KADİRLİ,MERKEZKÖYLER,HALİTAĞALAR KÖYÜ,80750
40273,OSMANİYE,KADİRLİ,MERKEZKÖYLER,HARDALLIK KÖYÜ,80750
40274,OSMANİYE,KADİRLİ,MERKEZKÖYLER,HARKAŞTIĞI KÖYÜ,80750
40275,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KARABACAK KÖYÜ,80750
40276,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KARAKÜTÜK KÖYÜ,80750
40277,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KARATEPE KÖYÜ,80750
40278,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KAYABAR KÖYÜ,80750
40279,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KAYASUYU KÖYÜ,80750
40280,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KERİMLİ KÖYÜ,80750
40281,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KESİKKELLİ KÖYÜ,80750
40282,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KESİM KÖYÜ,80750
40283,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KIZYUSUFLU KÖYÜ,80750
40284,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KİREMİTLİ KÖYÜ,80750
40285,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KOÇLU KÖYÜ,80750
40286,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KÖSEPINARI KÖYÜ,80750
40287,OSMANİYE,KADİRLİ,MERKEZKÖYLER,KÜMBET KÖYÜ,80750
40288,OSMANİYE,KADİRLİ,MERKEZKÖYLER,MECİDİYE KÖYÜ,80750
40289,OSMANİYE,KADİRLİ,MERKEZKÖYLER,MEHEDİNLİ KÖYÜ,80750
40290,OSMANİYE,KADİRLİ,MERKEZKÖYLER,MEZRETLİ KÖYÜ,80750
40291,OSMANİYE,KADİRLİ,MERKEZKÖYLER,NARLIKIŞLA KÖYÜ,80750
40292,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ORUÇBEY KÖYÜ,80750
40293,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ÖKSÜZLÜ KÖYÜ,80750
40294,OSMANİYE,KADİRLİ,MERKEZKÖYLER,SARITANIŞMANLI KÖYÜ,80750
40295,OSMANİYE,KADİRLİ,MERKEZKÖYLER,SOFULAR KÖYÜ,80750
40296,OSMANİYE,KADİRLİ,MERKEZKÖYLER,SÖĞÜTLÜDERE KÖYÜ,80750
40297,OSMANİYE,KADİRLİ,MERKEZKÖYLER,ŞAHAPLI KÖYÜ,80750
40298,OSMANİYE,KADİRLİ,MERKEZKÖYLER,TAHTAKÖY KÖYÜ,80750
40299,OSMANİYE,KADİRLİ,MERKEZKÖYLER,TATARLI KÖYÜ,80750
40300,OSMANİYE,KADİRLİ,MERKEZKÖYLER,TEKELİ KÖYÜ,80750
40301,OSMANİYE,KADİRLİ,MERKEZKÖYLER,TOPRAKTEPE KÖYÜ,80750
40302,OSMANİYE,KADİRLİ,MERKEZKÖYLER,TOZLU KÖYÜ,80750
40303,OSMANİYE,KADİRLİ,MERKEZKÖYLER,VAYVAYLI KÖYÜ,80750
40304,OSMANİYE,KADİRLİ,MERKEZKÖYLER,YALNIZDUT KÖYÜ,80750
40305,OSMANİYE,KADİRLİ,MERKEZKÖYLER,YENİGÜN KÖYÜ,80750
40306,OSMANİYE,KADİRLİ,MERKEZKÖYLER,YENİKÖY KÖYÜ,80750
40307,OSMANİYE,KADİRLİ,MERKEZKÖYLER,YOĞUNOLUK KÖYÜ,80750
40308,OSMANİYE,KADİRLİ,MERKEZKÖYLER,YUKARIBOZKUYU KÖYÜ,80750
40309,OSMANİYE,KADİRLİ,MERKEZKÖYLER,YUKARIÇAYANLI KÖYÜ,80750
40310,OSMANİYE,KADİRLİ,MERKEZKÖYLER,YUSUFİZZETTİN KÖYÜ,80750
40311,OSMANİYE,OSMANİYE,ATATÜRK,ADNANMENDERES MAH.,80010
40312,OSMANİYE,OSMANİYE,ATATÜRK,ALİBEYLİ MAH.,80010
40313,OSMANİYE,OSMANİYE,ATATÜRK,BAŞ MAH.,80010
40314,OSMANİYE,OSMANİYE,ATATÜRK,ESENEVLER MAH.,80010
40315,OSMANİYE,OSMANİYE,ATATÜRK,FAKIUŞAĞI MAH.,80010
40316,OSMANİYE,OSMANİYE,ATATÜRK,KARABOYUNLU MAH.,80010
40317,OSMANİYE,OSMANİYE,ATATÜRK,MEHMETAKİFERSOY MAH.,80010
40318,OSMANİYE,OSMANİYE,ATATÜRK,MİMARSİNAN MAH.,80010
40319,OSMANİYE,OSMANİYE,ATATÜRK,RAUFBEY MAH.,80010
40320,OSMANİYE,OSMANİYE,ATATÜRK,ŞİRİNEVLER MAH.,80010
40321,OSMANİYE,OSMANİYE,ATATÜRK,YEDİOCAK MAH.,80010
40322,OSMANİYE,OSMANİYE,ATATÜRK,YILDIRIMBEYAZIT MAH.,80010
40323,OSMANİYE,OSMANİYE,CEVDETİYE,CUMHURİYET MAH.,80440
40324,OSMANİYE,OSMANİYE,CEVDETİYE,KARATAŞ MAH.,80440
40325,OSMANİYE,OSMANİYE,CEVDETİYE,KOCATEPE MAH.,80440
40326,OSMANİYE,OSMANİYE,CEVDETİYE,YEŞİLTEPE MAH.,80440
40327,OSMANİYE,OSMANİYE,DEMİRYOLU,DOKTORİHSANGÖKNAL MAH.,80030
40328,OSMANİYE,OSMANİYE,DEMİRYOLU,DUMLUPINAR MAH.,80030
40329,OSMANİYE,OSMANİYE,DEMİRYOLU,YAVERPAŞA MAH.,80030
40330,OSMANİYE,OSMANİYE,DEMİRYOLU,YENİ MAH.,80030
40331,OSMANİYE,OSMANİYE,DEMİRYOLU,YEŞİLYURT MAH.,80030
40332,OSMANİYE,OSMANİYE,DEMİRYOLU,YUNUSEMRE MAH.,80030
40333,OSMANİYE,OSMANİYE,İSTİKLAL,AHMETYESEVİ MAH.,80020
40334,OSMANİYE,OSMANİYE,İSTİKLAL,ALİBEKİRLİ MAH.,80020
40335,OSMANİYE,OSMANİYE,İSTİKLAL,CUMHURİYET MAH.,80020
40336,OSMANİYE,OSMANİYE,İSTİKLAL,FATİH MAH.,80020
40337,OSMANİYE,OSMANİYE,İSTİKLAL,GEBELİ MAH.,80020
40338,OSMANİYE,OSMANİYE,İSTİKLAL,HACIOSMANLI MAH.,80020
40339,OSMANİYE,OSMANİYE,İSTİKLAL,HARAZ MAH.,80020
40340,OSMANİYE,OSMANİYE,İSTİKLAL,İSTİKLAL MAH.,80020
40341,OSMANİYE,OSMANİYE,İSTİKLAL,KARACAY MAH.,80020
40342,OSMANİYE,OSMANİYE,İSTİKLAL,KAZIMKARABEKİR MAH.,80020
40343,OSMANİYE,OSMANİYE,İSTİKLAL,KURTULUŞ MAH.,80020
40344,OSMANİYE,OSMANİYE,İSTİKLAL,MAREŞALFEVZİÇAKMAK MAH.,80020
40345,OSMANİYE,OSMANİYE,İSTİKLAL,MEVLANA MAH.,80020
40346,OSMANİYE,OSMANİYE,İSTİKLAL,RAHİMEHATUN MAH.,80020
40347,OSMANİYE,OSMANİYE,İSTİKLAL,RIZAİYE MAH.,80020
40348,OSMANİYE,OSMANİYE,İSTİKLAL,SELİMİYE MAH.,80020
40349,OSMANİYE,OSMANİYE,İSTİKLAL,ULAŞLI MAH.,80020
40350,OSMANİYE,OSMANİYE,MERKEZKÖYLER,AKYARKÖY KÖYÜ,80000
40351,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ARSLANLI KÖYÜ,80000
40352,OSMANİYE,OSMANİYE,MERKEZKÖYLER,BAHÇE KÖYÜ,80000
40353,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ÇAĞŞAK KÖYÜ,80000
40354,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ÇARDAK KÖYÜ,80000
40355,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ÇONA KÖYÜ,80000
40356,OSMANİYE,OSMANİYE,MERKEZKÖYLER,DERELİ KÖYÜ,80000
40357,OSMANİYE,OSMANİYE,MERKEZKÖYLER,DEREOBASI KÖYÜ,80000
40358,OSMANİYE,OSMANİYE,MERKEZKÖYLER,DERVİŞLİ KÖYÜ,80000
40359,OSMANİYE,OSMANİYE,MERKEZKÖYLER,GÖKÇEDAM KÖYÜ,80000
40360,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ISSIZCA KÖYÜ,80000
40361,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KARACALAR KÖYÜ,80000
40362,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KARATAŞ KÖYÜ,80000
40363,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KAYALI KÖYÜ,80000
40364,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KAZMACA KÖYÜ,80000
40365,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KESMEBURUN KÖYÜ,80000
40366,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KIRIKLI KÖYÜ,80000
40367,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KIRMACILI KÖYÜ,80000
40368,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KIRMITLI KÖYÜ,80000
40369,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KOÇYURDU KÖYÜ,80000
40370,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KÖYYERİ KÖYÜ,80000
40371,OSMANİYE,OSMANİYE,MERKEZKÖYLER,KUMARLI KÖYÜ,80000
40372,OSMANİYE,OSMANİYE,MERKEZKÖYLER,NOHUTTEPE KÖYÜ,80000
40373,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ORHANİYE KÖYÜ,80000
40374,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ORUÇGAZİ KÖYÜ,80000
40375,OSMANİYE,OSMANİYE,MERKEZKÖYLER,SAKARCALIK KÖYÜ,80000
40376,OSMANİYE,OSMANİYE,MERKEZKÖYLER,SAKIZGEDİĞİ KÖYÜ,80000
40377,OSMANİYE,OSMANİYE,MERKEZKÖYLER,SELİMİYE KÖYÜ,80000
40378,OSMANİYE,OSMANİYE,MERKEZKÖYLER,SERİNOVA KÖYÜ,80000
40379,OSMANİYE,OSMANİYE,MERKEZKÖYLER,SERPİNAĞZI KÖYÜ,80000
40380,OSMANİYE,OSMANİYE,MERKEZKÖYLER,ŞEKERDERE KÖYÜ,80000
40381,OSMANİYE,OSMANİYE,MERKEZKÖYLER,TECİRLİ KÖYÜ,80000
40382,OSMANİYE,OSMANİYE,MERKEZKÖYLER,TEHÇİ KÖYÜ,80000
40383,OSMANİYE,OSMANİYE,MERKEZKÖYLER,YARPUZ KÖYÜ,80000
40384,OSMANİYE,OSMANİYE,MERKEZKÖYLER,YENİKÖY KÖYÜ,80000
40385,OSMANİYE,SUMBAS,MEHMETLİ,CUMHURİYET MAH.,80940
40386,OSMANİYE,SUMBAS,MEHMETLİ,YENİ MAH.,80940
40387,OSMANİYE,SUMBAS,MERKEZKÖYLER,AKÇATAŞ KÖYÜ,80900
40388,OSMANİYE,SUMBAS,MERKEZKÖYLER,AKDAM KÖYÜ,80900
40389,OSMANİYE,SUMBAS,MERKEZKÖYLER,ALİBEYLİ KÖYÜ,80900
40390,OSMANİYE,SUMBAS,MERKEZKÖYLER,ARMAĞANLI KÖYÜ,80900
40391,OSMANİYE,SUMBAS,MERKEZKÖYLER,ÇİÇEKLİDERE KÖYÜ,80900
40392,OSMANİYE,SUMBAS,MERKEZKÖYLER,ESENLİ KÖYÜ,80900
40393,OSMANİYE,SUMBAS,MERKEZKÖYLER,GAFARLI KÖYÜ,80900
40394,OSMANİYE,SUMBAS,MERKEZKÖYLER,HÖYÜK KÖYÜ,80900
40395,OSMANİYE,SUMBAS,MERKEZKÖYLER,KIZILÖMERLİ KÖYÜ,80900
40396,OSMANİYE,SUMBAS,MERKEZKÖYLER,KÖSELİ KÖYÜ,80900
40397,OSMANİYE,SUMBAS,MERKEZKÖYLER,KÜÇÜKÇINAR KÖYÜ,80900
40398,OSMANİYE,SUMBAS,MERKEZKÖYLER,REŞADİYE KÖYÜ,80900
40399,OSMANİYE,SUMBAS,MERKEZKÖYLER,YAZIBOYU KÖYÜ,80900
40400,OSMANİYE,SUMBAS,MERKEZKÖYLER,YEŞİLYAYLA KÖYÜ,80900
40401,OSMANİYE,SUMBAS,SUMBAS,DÖĞENLİ MAH.,80900
