COD_ATECO,DESC_ATECO
92.32,"Teatri, sale da concerto ed altre sale di spettacolo, escluse quelle cinematografiche; agenzie di vendita di biglietti"
92.33.02,Trasporto di passeggeri a fini ricreativi
92.34.1,"Discoteche, sale da ballo, night clubs e simili; scuole di danza"
92.34.12,Scuole di danza
92.4,"AGENZIE DI STAMPA E DI INFORMAZIONE; GIORNALISTI, FOTOREPORTER E PUBBLICISTI"
92.53,"Orti botanici, giardini zoologici, parchi naturali e gestione del patrimonio naturale"
92.61.2,Piscine
92.61.5,Palestre
92.62,Altre attivita' sportive
92.62.3,Attivita' svolte da operatori sportivi indipendenti
92.62.41,Societa' sportive ed altri nuclei organizzativi di base
92.7,ATTIVITA' RICREATIVE
92.71.02,Sale scommesse
92.71.04,Attivita' connesse con le lotterie e con il gioco d'azzardo
92.72.2,"Sale giochi e sale biliardi, escluse le sale da bowling"
93,SERVIZI N.C.A.
93.01.2,Altre lavanderie; tintorie di articoli tessili e pellicce
93.02.02,Manicure e pedicure
93.03,Pompe funebri e attivita' connesse
93.04.1,"Centri per il benessere fisico, esclusi gli stabilimenti idropinici ed idrotermali; centri per cure anti-fumo"
93.05.01,Agenzie matrimoniali e d'incontro
93.05.03,Altri servizi non previsti nei precedenti codici
99,ORGANIZZAZIONI ED ORGANISMI EXTRATERRITORIALI (NOTA: ATTIVITA' NON PRESENTE NEL REGISTRO IMPRESE)
23.2,FABBRICAZIONE DI PRODOTTI PETROLIFERI RAFFINATI
23.20.1,Raffinerie di petrolio
23.20.3,Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento
23.3,TRATTAMENTO DEI COMBUSTIBILI NUCLEARI
24,FABBRICAZIONE DI PRODOTTI CHIMICI E DI FIBRE SINTETICHE E ARTIFICIALI
24.1,FABBRICAZIONE DI PRODOTTI CHIMICI DI BASE
24.11,Fabbricazione di gas industriali
24.12,Fabbricazione di coloranti e pigmenti di base di qualsiasi origine; sostanze fluorescenti e luminescenti
24.13,Fabbricazione di vari prodotti chimici di base inorganici
24.15,"Fabbricazione di concimi e di composti azotati associati, compresi i fertilizzanti naturali; produzione di compost"
24.16,Fabbricazione di materie plastiche in forme primarie
24.17,Fabbricazione di gomma sintetica in forme primarie
24.3,"FABBRICAZIONE DI PITTURE, VERNICI E SMALTI, INCHIOSTRI DA STAMPA, MASTICI, SOLVENTI E DILUENTI A BASE ORGANICA E INORGANICA E PRODOTTI SVERNICIANTI"
24.4,FABBRICAZIONE DI PRODOTTI FARMACEUTICI E DI PRODOTTI CHIMICI E BOTANICI PER USI MEDICINALI
24.41,Fabbricazione di prodotti farmaceutici di base
24.42,"Fabbricazione di medicinali, preparati farmaceutici, cerotti e simili"
24.5,"FABBRICAZIONE DI SAPONI, DETERSIVI E DETERGENTI, DI PRODOTTI PER LA PULIZIA E LA LUCIDATURA, DI PROFUMI E COSMETICI"
24.51,"Fabbricazione di saponi, detersivi, detergenti e di altri prodotti per la pulizia non per uso personale; prodotti per la ripulitura, la lucidatura e la manutenzione"
24.51.2,"Fabbricazione di prodotti per la ripulitura, la lucidatura e la manutenzione e di altri prodotti simili"
24.52,"Fabbricazione di saponi e detergenti per uso personale, di profumi e cosmetici"
24.61,Fabbricazione di esplosivi
24.62,"Fabbricazione di colle, gelatine, sigillanti e adesivi di qualsiasi origine"
24.63,Fabbricazione di oli essenziali
24.65,"Fabbricazione di supporti per registrazioni audio, video, informatica"
24.66,Fabbricazione di altri prodotti chimici n.c.a.
24.66.1,Fabbricazione di prodotti chimici organici mediante processi di fermentazione o derivati da materie prime vegetali
24.66.3,Trattamento chimico degli acidi grassi
24.66.5,Fabbricazione di prodotti chimici per ufficio
24.66.6,Fabbricazione di prodotti chimici ausiliari per le industrie tessili e del cuoio
25,FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE
25.1,FABBRICAZIONE DI ARTICOLI IN GOMMA
25.11,Fabbricazione di pneumatici e di camere d'aria
25.12,Rigenerazione e ricostruzione di pneumatici
25.2,FABBRICAZIONE DI ARTICOLI IN MATERIE PLASTICHE
25.21,"Fabbricazione di semilavorati di materie plastiche: lastre, fogli, pellicole, ecc.; tubi e profilati in materie plastiche"
25.22,Fabbricazione di imballaggi in materie plastiche
25.23,Fabbricazione di articoli in plastica per l'edilizia
25.23.02,Fabbricazione di altri articoli in plastica per l'edilizia
26,FABBRICAZIONE DI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI
26.1,FABBRICAZIONE DI VETRO E DI PRODOTTI IN VETRO
26.11,Fabbricazione del vetro piano
26.12,Lavorazione e trasformazione del vetro piano
26.12.01,Decorazione del vetro piano (esclusa la creazione di opere di pittura su vetro)
26.13,Fabbricazione di articoli in vetro cavo non per uso tecnico; articoli casalinghi in vetro
26.15,Fabbricazione e lavorazione di altro vetro e di articoli in tali materiali; fabbricazione di articoli in vetro cavo per usi tecnici
26.15.1,Fabbricazione di articoli in vetro cavo per usi tecnici
26.15.3,Fabbricazione e lavorazione di altro vetro (anche per usi tecnici ed industriali) ed articoli in vetro n.c.a.
26.2,"FABBRICAZIONE DI PRODOTTI CERAMICI NON REFRATTARI, NON DESTINATI ALL'EDILIZIA, E DI PRODOTTI CERAMICI REFRATTARI"
26.21,"Fabbricazione di prodotti in ceramica per usi domestici e ornamentali, comprese la decorazione e la smaltatura"
26.23,Fabbricazione di isolatori elettrici e di pezzi isolanti in ceramica
26.24,Fabbricazione di altri prodotti ceramici per uso tecnico e industriale
26.25,Fabbricazione di recipienti in ceramica per il trasporto ed il confezionamento di merci; altri prodotti ceramici
26.3,"FABBRICAZIONE DI PIASTRELLE IN CERAMICA NON REFRATTARIA PER PAVIMENTI E RIVESTIMENTI, COMPRESA LA DECORAZIONE E LA SMALTATURA"
26.4,"FABBRICAZIONE DI MATTONI, TEGOLE ED ALTRI PRODOTTI PER L'EDILIZIA IN TERRACOTTA NON REFRATTARI"
26.5,"PRODUZIONE DI CEMENTO, CALCE E GESSO"
26.51,Produzione di cemento
26.52,Produzione di calce
26.53,Produzione di gesso
26.61,"Fabbricazione di prodotti in calcestruzzo, cemento e pietra artificiale per l'edilizia"
26.61.01,"Fabbricazione di elementi prefabbricati in calcestruzzo, cemento e pietra artificiale per l'edilizia, compresi i caminetti"
26.62,Fabbricazione di prodotti in gesso per l'edilizia
26.63,Produzione di calcestruzzo e di conglomerati bituminosi
26.63.02,Produzione di conglomerati bituminosi
26.65,Fabbricazione di prodotti in fibrocemento
26.66,"Fabbricazione di altri prodotti in calcestruzzo, cemento, pietra artificiale e gesso"
26.7,"TAGLIO, MODELLATURA E FINITURA DI PIETRE E MARMO; FRANTUMAZIONE DI PIETRE E MINERALI"
26.70.1,Segagione e lavorazione  non artistica delle pietre e del marmo
26.70.3,Frantumazione di pietre e minerali effettuata non in connessione con l'estrazione
26.81,Fabbricazione di prodotti abrasivi
26.82,Fabbricazione di altri prodotti in minerali non metalliferi n.c.a.
27,METALLURGIA
27.1,SIDERURGIA
27.2,"FABBRICAZIONE DI TUBI E RACCORDI DI GHISA, DI ACCIAIO COLATO E DI ACCIAIO"
27.21,Fabbricazione di tubi e raccordi di ghisa e di acciaio colato
27.22.1,Fabbricazione di tubi e raccordi in acciaio senza saldatura
27.22.2,"Fabbricazione di tubi avvicinati, aggraffati, saldati e simili in acciaio; fabbricazione di raccordi in acciaio"
27.31,Stiratura a freddo del ferro e dell'acciaio
27.32,Laminazione a freddo di nastri di ferro e di acciaio
27.34,Trafilatura a freddo del ferro e dell'acciaio
27.4,"PRODUZIONE DI METALLI DI BASE NON FERROSI, COMPRESI I SEMILAVORATI"
27.41,Produzione di metalli preziosi e semilavorati
27.42,Produzione di alluminio e semilavorati
27.44,Produzione di rame e semilavorati
27.45,Produzione di altri metalli non ferrosi e semilavorati
27.5,FONDERIE
27.51,Fusione di ghisa
27.53,Fusione di metalli leggeri
27.54,Fusione di altri metalli non ferrosi
28,"FABBRICAZIONE E LAVORAZIONE DEI PRODOTTI IN METALLO, ESCLUSI MACCHINE E IMPIANTI"
28.1,FABBRICAZIONE DI ELEMENTI DA COSTRUZIONE IN METALLO
28.11,"Fabbricazione, installazione e riparazione di strutture metalliche e di parti di strutture"
28.12.1,"Fabbricazione di porte, finestre e loro telai, imposte, scale e cancelli metallici"
28.12.2,"Fabbricazione, installazione e riparazione di tende da sole con strutture metalliche, tende alla veneziana e simili"
28.21,"Fabbricazione, installazione e riparazione di cisterne, serbatoi e contenitori in metallo di capacita' superiore a 300 litri"
28.22,Fabbricazione di radiatori e caldaie per il riscaldamento centrale
28.4,"FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI"
28.40.1,Produzione di pezzi di metallo fucinati
28.40.2,Produzione di pezzi di metallo stampati
28.40.4,Sinterizzazione dei metalli e loro leghe (metallurgia delle polveri)
28.51,Trattamento e rivestimento dei metalli
28.52,Lavori di meccanica generale
28.6,"FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI, SERRATURE E SIMILI"
28.61,Fabbricazione di articoli di coltelleria e posateria
28.63,Fabbricazione di serrature e cerniere
28.7,FABBRICAZIONE DI ALTRI PRODOTTI METALLICI
28.71,Fabbricazione di contenitori in acciaio con capacita' non superiore a 300 litri
28.72,Fabbricazione di contenitori ed imballaggi in metallo leggero
28.74,"Fabbricazione di viti, bulloni, catene e molle"
28.74.1,Fabbricazione di filettatura e bulloneria
28.74.3,Fabbricazione di catene fucinate senza saldatura e stampate
28.75,Fabbricazione di altri prodotti metallici n.c.a.
28.75.2,"Fabbricazione di casseforti, forzieri, porte e infissi blindati"
28.75.3,Fabbricazione di minuteria metallica ed altri articoli metallici n.c.a.
28.75.5,"Fabbricazione di oggetti in ferro, in rame ed in altri metalli e relativi lavori di riparazione (fabbri, ramai, ecc.)"
29.1,"FABBRICAZIONE , INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI MACCHINE ED APPARECCHI PER LA PRODUZIONE E L'UTILIZZAZIONE DELL'ENERGIA MECCANICA, ESCLUSI I MOTORI DESTINATI AI MEZZI DI TRASPORTO SU STRADA E AD AEROMOBILI"
29.11,"Fabbricazione, installazione, riparazione e manutenzione di motori e di turbine, esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili"
29.11.1,"Fabbricazione , installazione, riparazione e manutenzione di motori a combustione interna, compresi parti e accessori,esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili"
29.12,"Fabbricazione, installazione, riparazione e manutenzione di pompe, compressori e sistemi idraulici"
29.13,"Fabbricazione, installazione, riparazione e manutenzione di rubinetti e valvole"
29.14.1,"Fabbricazione, installazione, riparazione e manutenzione di ingranaggi e organi di trasmissione"
29.14.2,"Fabbricazione, installazione, riparazione e manutenzione di cuscinetti a sfere ed a rulli, comprese loro parti"
29.21,"Fabbricazione, installazione, riparazione e manutenzione di fornaci e bruciatori"
29.21.1,Fabbricazione e installazione di fornaci e bruciatori
29.22,"Fabbricazione, installazione, riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione, esclusa l'installazione negli edifici da parte di imprese non produttrici di ascensori, montacarichi e scale mobili"
29.22.1,"Fabbricazione e installazione di macchine e apparecchi di sollevamento e movimentazione, esclusa l'installazione negli edifici da parte di imprese non produttrici di ascensori, montacarichi e scale mobili"
29.22.12,"Fabbricazione e installazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli"
29.22.2,Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione
29.23.1,Fabbricazione e installazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione
29.23.2,Riparazione e manutenzione di attrezzature di uso non domestico per la refrigerazione e la ventilazione
29.24.1,Fabbricazione di materiale per saldatura non elettrica
29.24.3,Fabbricazione e installazione di macchine di impiego generale ed altro materiale meccanico n.c.a.
29.24.31,Fabbricazione e installazione di apparecchi per la depurazione e la filtrazione dei liquidi e dei gas per uso non domestico
29.24.33,Fabbricazione e installazione di altre macchine di impiego generale n.c.a.
29.24.5,"Fabbricazione e installazione di macchine per la dosatura, la confezione e per l'imballaggio, compresi parti e accessori"
29.24.61,Riparazione e manutenzione di bilance e macchine automatiche
29.24.63,"Riparazione e manutenzione di macchine per la dosatura, la confezione e l'imballaggio"
29.24.65,Riparazione e manutenzione di altre macchine di impiego generale non previste nei precedenti codici
29.31,"Fabbricazione, riparazione e manutenzione di trattori agricoli"
29.31.1,Fabbricazione di trattori agricoli
29.32,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
29.32.1,"Fabbricazione, installazione, di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
29.4,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI MACCHINE UTENSILI ED ACCESSORI, ESCLUSE LE PARTI INTERCAMBIABILI"
29.41,"Fabbricazione, riparazione e manutenzione di macchine utensili portatili motorizzate ed accessori, escluse le parti intercambiabili"
29.42,"Fabbricazione, installazione, riparazione e manutenzione di macchine utensili per la lavorazione dei metalli ed accessori, escluse le parti intercambiabili"
29.5,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI, COMPRESI PARTI ED ACCESSORI"
29.51,"Fabbricazione, installazione, riparazione e manutenzione di macchine per la metallurgia, compresi parti e accessori"
29.52,"Fabbricazione, installazione, riparazione e manutenzione di macchine da miniera, cava e cantiere, compresi parti e accessori"
29.52.01,"Fabbricazione, riparazione e manutenzione di macchine per movimento terra"
29.53,"Fabbricazione, installazione, riparazione e manutenzione di macchine per l'industria alimentare, delle bevande e del tabacco, compresi parti e accessori"
29.53.02,"Fabbricazione, installazione, riparazione e manutenzione di macchine per i settori enologico ed oleario"
29.53.04,"Fabbricazione, installazione, riparazione e manutenzione di macchine per la preparazione di pasti e bevande per alberghi,  ristoranti e bar"
29.54,"Fabbricazione, installazione, riparazione e manutenzione di macchine per le industrie tessili, dell'abbigliamento e del cuoio, compresi parti e accessori"
29.54.1,"Fabbricazione, installazione, riparazione e manutenzione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria, compresi parti e accessori"
29.54.12,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine per la lavorazione e la finitura dei tessili"
29.54.3,"Fabbricazione, installazione, riparazione e manutenzione di apparecchiature e di macchine per lavanderie e stirerie,compresi parti e accessori"
29.55,"Fabbricazione, installazione, riparazione e manutenzione di macchine per l'industria della carta e del cartone, compresi parti e accessori"
29.56.1,"Fabbricazione, installazione, riparazione e manutenzione di macchine per l'industria delle materie plastiche e della gomma e di altre macchine per impieghi speciali n.c.a., compresi parti e accessori"
29.56.11,"Fabbricazione, installazione, riparazione e manutenzione di macchine per l'industria delle materie plastiche e della gomma, compresi parti e accessori"
29.56.2,"Fabbricazione, installazione, riparazione e manutenzione di macchine per la stampa e la legatoria, compresi parti e accessori"
29.56.4,"Fabbricazione, installazione, riparazione e manutenzione di robot industriali per usi molteplici, compresi parti e accessori"
29.7,"FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO COMPRESI PARTI ED ACCESSORI, ESCLUSE L' INSTALLAZIONE, LA RIPARAZIONE E LA MANUTENZIONE"
29.71,"Fabbricazione di elettrodomestici compresi parti ed accessori, escluse l'installazione, la riparazione e la manutenzione"
29.72,"Fabbricazione di apparecchi per uso domestico non elettrici compresi parti ed accessori, escluse l'installazione, la riparazione e la manutenzione"
30,"FABBRICAZIONE DI MACCHINE PER UFFICIO, DI ELABORATORI E SISTEMI INFORMATICI COMPRESI GLI ACCESSORI, ESCLUSE L'INSTALLAZIONE, LA RIPARAZIONE E LA MANUTENZIONE"
30.01,"Fabbricazione di macchine per ufficio compresi gli accessori, escluse l'installazione, la riparazione e la manutenzione"
31,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI MACCHINE ED APPARECCHI ELETTRICI N.C.A."
31.1,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI"
31.10.1,"Fabbricazione di motori, generatori e trasformatori elettrici"
31.10.2,"Installazione, riparazione e manutenzione di motori, generatori e trasformatori elettrici"
31.20.1,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricita'
31.3,FABBRICAZIONE DI FILI E CAVI ISOLATI
31.4,FABBRICAZIONE DI PILE E ACCUMULATORI ELETTRICI
31.5,"FABBRICAZIONE DI DISPOSITIVI PER ILLUMINAZIONE (ANCHE DEL TIPO NON ELETTRICO), DI LAMPADINE E LAMPADE ELETTRICHE"
31.50.01,"Fabbricazione di dispositivi per illuminazione (anche di tipo non elettrico), compresi insegne e cartelli luminosi"
31.6,FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE N.C.A.
31.61,Fabbricazione di apparecchiature elettriche per motori a combustione interna e per veicoli
31.62,"Fabbricazione, installazione, riparazione e manutenzione di altre apparecchiature elettriche n.c.a., compresi parti e accessori"
31.62.1,"Fabbricazione di altre apparecchiature elettriche n.c.a., comprese parti e accessori"
32,FABBRICAZIONE DI APPARECCHI RADIOTELEVISIVI E DI APPARECCHIATURE PER LE COMUNICAZIONI
32.1,FABBRICAZIONE DI TUBI E VALVOLE ELETTRONICI E DI ALTRI COMPONENTI ELETTRONICI
32.2,FABBRICAZIONE DI APPARECCHI TRASMITTENTI PER LA RADIODIFFUSIONE E LA TELEVISIONE E DI APPARECCHI PER LE TELECOMUNICAZIONI
32.20.1,Fabbricazione e installazione di apparecchi e impianti trasmittenti radio televisivi
32.20.3,"Riparazione e manutenzione di apparecchi e impianti trasmittenti radio televisivi e per telecomunicazioni, esclusi i telefoni cellulari"
32.3,"FABBRICAZIONE DI APPARECCHI RICEVENTI PER LA RADIODIFFUSIONE E LA TELEVISIONE, DI APPARECCHI PER LA REGISTRAZIONE E LA RIPRODUZIONE DEL SUONO E DELL'IMMAGINE E DI PRODOTTI CONNESSI, ESCLUSA LA RIPARAZIONE"
33,"FABBRICAZIONE DI APPARECCHI MEDICALI, DI APPARECCHI DI PRECISIONE, DI STRUMENTI OTTICI E DI OROLOGI"
33.1,"FABBRICAZIONE, RIPARAZIONE E MANUTENZIONE DI APPARECCHI MEDICALI E CHIRURGICI E DI APPARECCHI ORTOPEDICI"
33.10.1,"Fabbricazione, installazione, riparazione e manutenzione di apparecchi elettromedicali, compresi parti e accessori"
33.10.3,Fabbricazione e riparazione di protesi dentarie
33.2,"FABBRICAZIONE, RIPARAZIONE E MANUTENZIONE DI STRUMENTI E APPARECCHI DI MISURAZIONE, CONTROLLO, PROVA, NAVIGAZIONE E SIMILI, ESCLUSE LE APPARECCHIATURE DI CONTROLLO DEI PROCESSI INDUSTRIALI"
33.20.1,"Fabbricazione di apparecchi di misura elettrici ed elettronici, comprese parti e accessori"
33.20.2,"Fabbricazione di contatori consumo di elettricita', gas, acqua ed altri liquidi, di altri apparecchi di misura, di apparecchi di controllo, regolazione e analisi, comprese parti e accessori, escluse le apparecchiature di controllo dei processi industriali"
33.20.4,"Fabbricazione di strumenti per disegno e calcolo, di strumenti di misura dimensionale di precisione, di bilance analitiche di precisione, di apparecchi per laboratorio e di materiale didattico, di altri apparecchi e strumenti di precisione esclusi quelli di precisione di tipo ottico, compresi parti e accessori"
33.3,"FABBRICAZIONE, RIPARAZIONE E MANUTENZIONE DI APPARECCHIATURE PER IL CONTROLLO DEI PROCESSI INDUSTRIALI"
33.4,"FABBRICAZIONE, RIPARAZIONE E MANUTENZIONE DI STRUMENTI OTTICI E DI ATTREZZATURE FOTOGRAFICHE"
33.40.1,"Fabbricazione di armature per occhiali di qualsiasi tipo; fabbricazione in serie di occhiali comuni, compresi parti e accessori"
33.40.2,"Confezionamento ed apprestamento di occhiali da vista e lenti a contatto, compresa la riparazione di montature di occhiali (attivita' degli ottici)"
33.40.4,Fabbricazione di lenti e strumenti ottici di precisione
33.40.6,Riparazione e manutenzione di strumenti ottici e fotocinematografici
33.5,FABBRICAZIONE DI OROLOGI
34,"FABBRICAZIONE DI AUTOVEICOLI E LORO MOTORI, MOTORI DI MOTOCICLI, RIMORCHI E SEMIRIMORCHI"
34.1,FABBRICAZIONE DI AUTOVEICOLI E LORO MOTORI; MOTORI DI MOTOCICLI
34.2,FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI; FABBRICAZIONE DI RIMORCHI E SEMIRIMORCHI DI AUTOVEICOLI
34.20.01,"Fabbricazione di carrozzerie di qualsiasi tipo, comprese le cabine"
34.20.03,Fabbricazione di container
34.3,FABBRICAZIONE DI PARTI ED ACCESSORI PER AUTOVEICOLI (ESCLUSI QUELLI IN LEGNO) E PER I MOTORI DI AUTOVEICOLI E MOTOCICLI
35,FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO
35.1,"INDUSTRIA CANTIERISTICA: COSTRUZIONI NAVALI E RIPARAZIONI DI NAVI E IMBARCAZIONI, COMPRESA L'ATTIVITA' DI IMPIANTISTICA"
35.11,"Costruzioni navali e riparazioni di navi, compresa l'attivita' di impiantistica"
35.11.2,"Cantieri navali per costruzioni non metalliche, compresa l'attivita' di impiantistica"
35.11.3,Cantieri di riparazioni navali
35.2,"COSTRUZIONE, RIPARAZIONE E MANUTENZIONE DI LOCOMOTIVE, ANCHE DA MANOVRA, E DI MATERIALE ROTABILE FERRO-TRANVIARIO, COMPRESA L'ATTIVITA' DI IMPIANTISTICA"
35.20.1,"Costruzione di materiale rotabile ferroviario, compresa l'attivita' di impiantistica"
35.20.3,Riparazione e manutenzione di materiale rotabile ferroviario
35.20.4,"Riparazione e manutenzione di materiale rotabile tranviario, filoviario e per metropolitane"
35.4,"FABBRICAZIONE E MONTAGGIO DI MOTOCICLI, CICLOMOTORI E BICICLETTE, COMPRESI PARTI E ACCESSORI"
35.41,"Fabbricazione e montaggio di motocicli e ciclomotori, compresi parti e accessori"
35.41.1,"Fabbricazione e montaggio di motocicli e ciclomotori, esclusi i motori"
35.42,"Fabbricazione e montaggio di biciclette, compresi parti  e accessori"
35.42.1,Fabbricazione e montaggio di biciclette
35.43,"Fabbricazione di veicoli per invalidi, compresi parti  e accessori"
35.5,"FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO N.C.A., COMPRESI PARTI E ACCESSORI"
35.50.1,"Fabbricazione di veicoli speciali e altro materiale da trasporto a trazione manuale o animale n.c.a., compresi parti  e accessori"
36,FABBRICAZIONE DI MOBILI; ALTRE INDUSTRIE MANIFATTURIERE N.C.A.
36.1,FABBRICAZIONE E RIPARAZIONE DI MOBILI
36.11,"Fabbricazione di sedie e sedili, poltrone e divani e loro telai, in qualsiasi materiale, esclusi parti e accessori"
36.11.1,"Fabbricazione di sedie e sedili, compresi quelli per aeromobili, autoveicoli, navi e treni, in qualsiasi materiale, esclusi parti e accessori"
51.46,"Commercio all'ingrosso di prodotti farmaceutici, prodotti sanitari ed apparecchi medicali, chirurgici ed ortopedici"
51.46.2,"Commercio all'ingrosso di prodotti sanitari ed apparecchi medicali, chirurgici ed ortopedici"
51.47,Commercio all'ingrosso di altri prodotti per uso domestico
51.47.2,"Commercio all'ingrosso di carta e cartone, esclusi gli imballaggi; articoli di cartoleria e cancelleria"
51.47.3,"Commercio all'ingrosso di libri, riviste e giornali"
51.47.5,"Commercio all'ingrosso di orologeria, gioielleria e pietre preziose lavorate"
51.47.52,"Commercio all'ingrosso di oggetti e gioielli in metallo prezioso, pietre preziose lavorate ed altri articoli similari"
51.47.7,"Commercio all'ingrosso di articoli sportivi, comprese le biciclette"
51.47.8,"Commercio all'ingrosso di articoli in cuoio, in pelle e articoli da viaggio"
51.47.91,"Commercio all'ingrosso di articoli ed apparecchi domestici non elettrici, esclusi pentole e tegami"
51.47.93,Commercio all'ingrosso di articoli di promozione pubblicitaria
51.47.95,Commercio all'ingrosso di strumenti musicali
51.47.97,Commercio all'ingrosso di tappeti e stuoie
51.47.99,Commercio all'ingrosso di altri prodotti non alimentari n.c.a.
51.51,"Commercio all'ingrosso di prodotti petroliferi, carburanti e lubrificanti per autotrazione; combustibili per riscaldamento solidi, liquidi e gassosi"
51.51.1,"Commercio all'ingrosso di prodotti petroliferi, carburanti e lubrificanti per autotrazione"
51.52,"Commercio all'ingrosso di metalli e di minerali metalliferi, compresi i prodotti semilavorati"
51.52.1,"Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati"
51.53,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale; materiali da costruzione, compresi gli infissi e gli articoli igienico-sanitari; vetro piano; vernici e colori"
51.53.1,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale"
51.53.21,"Commercio all'ingrosso di pietre da costruzione e ornamentali: marmi grezzi, pietre da taglio, ardesia, ecc."
51.53.23,Commercio all'ingrosso di materiali per pavimentazione e rivestimento diversi da moquette e linoleum; articoli igienico-sanitari
51.53.3,Commercio all'ingrosso di vetro piano
51.54,"Commercio all'ingrosso di articoli di ferramenta e di bricolage; apparecchi ed accessori per impianti idraulici, di riscaldamento e di condizionamento"
51.54.1,Commercio all'ingrosso di articoli di ferramenta e di bricolage
51.55,Commercio all'ingrosso di prodotti chimici ed assimilati
51.55.01,"Commercio all'ingrosso di fertilizzanti, concimi ed altri prodotti chimici per l'agricoltura"
51.56,Commercio all'ingrosso di altri prodotti intermedi
51.56.1,Commercio all'ingrosso di fibre tessili gregge e semilavorate
51.57,Commercio all'ingrosso di rottami; materiali di recupero; sottoprodotti della lavorazione industriale (cascami)
51.57.1,Commercio all'ingrosso di rottami e materiali di recupero metallici; sottoprodotti della lavorazione industriale (cascami)
51.8,COMMERCIO ALL'INGROSSO DI MACCHINARI E ATTREZZATURE
51.81,Commercio all'ingrosso di macchine utensili
51.82,"Commercio all'ingrosso di macchine e attrezzature per le miniere, le cave, l'edilizia e il genio civile"
51.84,"Commercio all'ingrosso di computer e apparecchiature informatiche, esclusi elaboratori destinati all'impiego nei processi industriali;  software"
51.84.01,"Commercio all'ingrosso di computer e apparecchiature informatiche, esclusi elaboratori destinati all'impiego nei processi industriali"
51.85,"Commercio all'ingrosso di macchine e di attrezzature per ufficio, esclusi  computer e apparecchiature informatiche; mobili per ufficio"
51.85.01,"Commercio all'ingrosso di macchine e di attrezzature per ufficio, esclusi computer e apparecchiature informatiche"
51.86,Commercio all'ingrosso di apparecchiature elettroniche per telecomunicazioni; componenti elettronici
51.87.01,Commercio all'ingrosso di macchine per bar e gelaterie
51.87.03,Commercio all'ingrosso di bilance per il commercio ed altri strumenti e attrezzature di misurazione per usi non scientifici
51.87.05,"Commercio all'ingrosso di materiale ed apparecchi elettrici per uso non domestico, esclusi quelli per telecomunicazioni"
51.87.07,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione n.c.a."
51.9,COMMERCIO ALL'INGROSSO DI ALTRI PRODOTTI; COMMERCIO ALL'INGROSSO DESPECIALIZZATO
51.90.01,Cash and carry
51.90.03,Commercio all'ingrosso di altri prodotti n.c.a.; altre forme di commercio all'ingrosso despecializzato n.c.a.
52.1,COMMERCIO AL DETTAGLIO IN ESERCIZI NON SPECIALIZZATI
52.11,Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande
52.11.1,Ipermercati
52.11.3,Discount di alimentari
52.11.5,Commercio al dettaglio non specializzato di prodotti surgelati e congelati
52.12,Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti non alimentari
52.12.2,Bazar ed altri negozi non specializzati con prevalenza di prodotti non alimentari
